lipid_id,head,amino_acid,tail,amino_acid_full,aa_proteinogenic,head_description,log2_luc_pred,log2_luc_paper,log2_is_paper_verified,below_heatmap_floor,R,G,B,size_px,darkness
CHGly-1,CH,Gly,1,glycine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,179.95089666951324,205.133219470538,211.37574722459436,2342,22.936354166666632
CHGly-2,CH,Gly,2,glycine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",7.2915538815228516,,0,0,208.26311862720715,181.37204675453867,209.18005471275802,4021,36.851510416666656
CHGly-3,CH,Gly,3,glycine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",8.380660102837073,,0,0,205.01186239620404,175.5779359430605,205.01186239620404,4215,41.135729166666636
CHGly-4,CH,Gly,4,glycine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,206.10112036771042,193.9241597242172,215.41884515943696,3481,29.234218749999997
CHGly-5,CH,Gly,5,glycine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,198.10824417872877,197.1740088105727,213.8643801132788,3178,27.996822916666645
CHGly-6,CH,Gly,6,glycine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",8.324853123842818,,0,0,204.94173602853746,175.45160523186684,204.94173602853746,4205,41.21973958333331
CHGly-7,CH,Gly,7,glycine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,193.91103678929767,198.5,213.18160535117056,2990,27.08260416666667
CHGly-8,CH,Gly,8,glycine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,193.79347460477632,199.2953245879583,213.1029263370333,2973,26.93463541666668
CHGly-9,CH,Gly,9,glycine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,208.6489420935412,192.7413697104677,216.16286191536747,3592,29.748802083333345
CHGly-10,CH,Gly,10,glycine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",9.771358541373555,,0,0,200.76081596054695,166.11566913248151,198.01031158932975,4461,48.11729166666663
CHGly-11,CH,Gly,11,glycine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,208.8262076624098,192.89478067740146,216.29622431982233,3602,29.70552083333331
CHGly-12,CH,Gly,12,glycine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,177.77272727272728,205.41042780748663,210.7549019607843,2244,22.443333333333356
